Velocity,Mass,Thrust,Drag
280.224,15.483,0,285.872
279.942,15.483,0,284.982
279.661,15.483,0,284.1
279.38,15.483,0,283.228
279.101,15.483,0,282.362
278.823,15.483,0,281.493
278.545,15.483,0,280.63
278.268,15.483,0,279.772
277.991,15.483,0,278.918
277.716,15.483,0,278.071
277.44,15.483,0,277.256
277.166,15.483,0,276.444
276.892,15.483,0,275.634
276.619,15.483,0,274.825
276.346,15.483,0,274.018
276.074,15.483,0,273.215
275.802,15.483,0,272.414
275.531,15.483,0,271.615
275.26,15.483,0,270.819
274.989,15.483,0,270.028
274.719,15.483,0,269.243
274.449,15.483,0,268.463
274.179,15.483,0,267.69
273.909,15.483,0,266.924
273.64,15.483,0,266.16
273.371,15.483,0,265.372
273.101,15.483,0,264.595
272.832,15.483,0,263.826
272.563,15.483,0,263.063
272.294,15.483,0,262.304
272.025,15.483,0,261.55
271.757,15.483,0,260.795
271.489,15.483,0,260.038
271.222,15.483,0,259.279
270.955,15.483,0,258.518
270.689,15.483,0,257.759
270.423,15.483,0,257.001
270.159,15.483,0,256.246
269.895,15.483,0,255.497
269.632,15.483,0,254.755
269.37,15.483,0,254.037
269.109,15.483,0,253.33
268.848,15.483,0,252.635
268.589,15.483,0,251.95
268.33,15.483,0,251.274
268.073,15.483,0,250.607
267.816,15.483,0,249.944
267.559,15.483,0,249.283
267.304,15.483,0,248.62
267.049,15.483,0,247.957
266.794,15.483,0,247.308
266.54,15.483,0,246.655
266.286,15.483,0,245.997
266.033,15.483,0,245.335
265.78,15.483,0,244.667
265.527,15.483,0,243.977
265.275,15.483,0,243.291
265.022,15.483,0,242.611
264.77,15.483,0,241.939
264.517,15.483,0,241.275
264.265,15.483,0,240.607
264.012,15.483,0,239.953
263.759,15.483,0,239.313
263.506,15.483,0,238.684
263.253,15.483,0,238.064
263,15.483,0,237.461
262.747,15.483,0,236.855
262.494,15.483,0,236.248
262.242,15.483,0,235.636
261.99,15.483,0,235.021
261.739,15.483,0,234.399
261.488,15.483,0,233.775
261.237,15.483,0,233.149
260.988,15.483,0,232.524
260.739,15.483,0,231.899
260.49,15.483,0,231.27
260.243,15.483,0,230.645
259.996,15.483,0,230.025
259.75,15.483,0,229.41
259.504,15.483,0,228.801
259.259,15.483,0,228.2
259.015,15.483,0,227.606
258.772,15.483,0,227.017
258.529,15.483,0,226.433
258.287,15.483,0,225.853
258.045,15.483,0,225.286
257.804,15.483,0,224.721
257.564,15.483,0,224.156
257.324,15.483,0,223.591
257.084,15.483,0,223.027
256.845,15.483,0,222.471
256.607,15.483,0,221.914
256.368,15.483,0,221.354
256.13,15.483,0,220.794
255.893,15.483,0,220.231
255.655,15.483,0,219.654
255.418,15.483,0,219.081
255.18,15.483,0,218.511
254.943,15.483,0,217.946
254.706,15.483,0,217.389
254.469,15.483,0,216.848
